academic_year,division,team_name,org_id,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage,sos_avg_opp_win_pct,sos_avg_opp_offense,sos_avg_opp_defense,sos_std_opp_win_pct,sos_stats_rank,schedule_difficulty_score,schedule_difficulty_rank,wins,losses,ties,games_played,wp,opp_wp,opp_opp_wp,rpi
2014,1,Air Force,103551,ECAC,11-6,6.41,6.24,0.848,0.494,29.12,0.65,0.4,,18.12,9.06,9.41,2.29,11.71,0.285,11.94,0.647,0.4607333333333333,15.498,10.564,0.2172256788585446,48,0.4620683923126846,47,22,12,0,34,0.6470588235294118,0.4757294070283508,0.490212526313458,0.5221825409748928
2014,1,Army West Point,103552,Patriot,9-5,5.57,7.0,0.839,0.535,27.14,0.651,0.317,,15.71,8.5,7.21,2.93,10.14,0.272,12.93,0.643,0.4109230769230769,14.104615384615386,10.32076923076923,0.2505051700797538,60,0.4103465547488527,60,18,10,0,28,0.6428571428571429,0.43309214711525634,0.4873208049894409,0.49909056051927414
2014,1,Bellarmine,103495,ECAC,7-5,5.75,8.92,0.921,0.402,24.42,0.652,0.267,,15.17,9.92,8.58,0.83,9.42,0.246,14.67,0.583,0.44775,15.368333333333332,10.733333333333334,0.175085752799402,52,0.4491750319533721,52,14,10,0,24,0.5833333333333334,0.4475799935358759,0.48304731297507447,0.49038515834503993
2014,1,Binghamton,103496,America East,7-8,6.07,6.87,0.904,0.463,26.0,0.551,0.417,,15.6,10.07,10.6,-1.07,9.53,0.285,12.07,0.467,0.5165,17.061428571428568,10.48214285714286,0.1266924002681861,26,0.5153816409450079,26,14,16,0,30,0.4666666666666667,0.5174710910005028,0.49026786751048385,0.497969179044539
2014,1,Boston U.,103497,Patriot,2-12,4.57,7.5,0.769,0.548,26.21,0.615,0.407,,11.79,12.36,11.0,-3.79,7.21,0.219,18.93,0.143,0.4981428571428571,15.27,9.652142857142858,0.2195816988024721,32,0.4983625824671155,32,4,24,0,28,0.14285714285714285,0.4980245303249505,0.46603701755928156,0.40123580526658137
2014,1,Brown,103498,Ivy League,8-6,5.93,6.64,0.86,0.509,30.5,0.593,0.302,,16.07,13.0,10.64,-0.5,10.14,0.287,16.64,0.571,0.4966428571428571,15.759285714285712,10.13857142857143,0.1707958711205769,33,0.495748529574715,33,16,12,0,28,0.5714285714285714,0.49661845507433744,0.5207490256861272,0.5213536268158434
2014,1,Bryant,103499,NEC,16-5,6.05,5.24,0.86,0.678,34.1,0.77,0.422,,16.33,11.43,7.9,2.38,10.29,0.289,16.38,0.762,0.4627894736842106,14.972105263157893,10.32736842105263,0.2256920535754225,45,0.4626376369612048,45,32,10,0,42,0.7619047619047619,0.4535572776118995,0.4926929594408578,0.5404280691423546
2014,1,Bucknell,103500,Patriot,7-8,4.6,9.47,0.882,0.342,27.07,0.642,0.405,,13.4,10.87,8.67,0.13,8.8,0.229,12.47,0.467,0.4888571428571427,14.645,9.455,0.2618254208827099,37,0.4883897865185395,37,14,16,0,30,0.4666666666666667,0.49365665924489455,0.483022387692519,0.48425059321224373
2014,1,Canisius,103501,MAAC,7-8,5.07,4.87,0.879,0.551,26.07,0.483,0.298,,13.67,10.53,9.47,-0.87,8.6,0.257,13.53,0.467,0.4405714285714285,15.529285714285717,10.544999999999998,0.232350939709039,55,0.4406064582250466,54,14,16,0,30,0.4666666666666667,0.4542425917735516,0.48439495511020425,0.4648867013309935
2014,1,Colgate,103502,Patriot,9-7,3.94,6.94,0.858,0.598,29.69,0.653,0.266,,12.38,9.88,8.88,-0.44,8.44,0.258,15.31,0.563,0.4871428571428571,15.44,9.780714285714286,0.2358764377328753,39,0.487315757177127,38,18,14,0,32,0.5625,0.5104410193564606,0.4879312526832109,0.517828322849033
2014,1,Cornell,103503,Ivy League,11-5,7.13,7.94,0.875,0.517,34.94,0.653,0.443,,19.88,10.75,9.56,3.19,12.75,0.32,14.38,0.688,0.5432666666666666,15.992666666666668,10.193333333333332,0.1627511256148137,16,0.5425068913613497,16,22,10,0,32,0.6875,0.5550430268261151,0.549925704083787,0.5868779394340042
2014,1,Dartmouth,103504,Ivy League,2-10,4.0,9.58,0.8,0.405,31.58,0.432,0.238,,12.25,11.08,13.33,-5.08,8.25,0.22,17.25,0.167,0.52925,16.88083333333333,10.215,0.1490531924068272,18,0.5290259313522562,18,4,20,0,24,0.16666666666666666,0.5292966224951519,0.5087228920813137,0.433495700934571
2014,1,Delaware,103505,CAA,7-9,5.19,6.88,0.854,0.596,29.69,0.661,0.289,,14.31,10.56,9.0,0.13,9.13,0.273,14.81,0.438,0.4902,14.037333333333333,9.710666666666668,0.19482306502739,36,0.4903292114365498,36,14,18,0,32,0.4375,0.5024935134310134,0.503934937770947,0.4866054911582435
2014,1,Denver,103506,Big East,16-3,7.37,5.95,0.885,0.485,29.32,0.629,0.405,,20.58,10.68,8.47,4.74,13.21,0.371,11.16,0.842,0.5264375,16.63125,10.10625,0.1660545726372809,21,0.5262057227056925,21,32,6,0,38,0.8421052631578947,0.5340541209736256,0.5355555771443338,0.6114422705623699
2014,1,Detroit Mercy,103507,MAAC,6-8,6.5,7.79,0.794,0.407,27.21,0.673,0.708,,15.64,16.07,9.64,-0.5,9.14,0.274,17.71,0.429,0.3616153846153846,13.37923076923077,11.092307692307692,0.1735979167109747,65,0.3605972324399185,65,12,16,0,28,0.42857142857142855,0.3643078385200234,0.46067723360996166,0.4044660848053592
