Team: Davenport
Season: 2021 D2
Record: 1-8
Winning %: 0.111
Predicted Winning %: 0.186

Stat Comparison vs League Average:
  points_per_game: 12.330 (5.311 below average)
  scoring_defense: 13.330 (2.094 above average)
  scoring_offense: 7.330 (3.984 below average)
  scoring_margin: 6.375 (4.641 above average)
  defensive_efficiency: 15.399 (0.304 below average)
  saves_per_game: 16.780 (4.792 above average)
  clearing_percentage: 0.808 (0.035 below average)
  ground_balls_per_game: 20.440 (10.456 below average)
  shot_percentage: 0.277 (0.014 below average)
  offensive_efficiency: 26.462 (12.204 below average)
