org_id,team_name,conference,division,reason,detail,candidates_tried
593943,Duke,ACC,D1,no_team_hints,no by_org_id/by_team_name hint found,
593990,North Carolina,ACC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594063,Notre Dame,ACC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594017,Syracuse,ACC,D1,no_team_hints,no by_org_id/by_team_name hint found,
594033,Virginia,ACC,D1,no_team_hints,no by_org_id/by_team_name hint found,
593912,Binghamton,America East,D1,no_team_hints,no by_org_id/by_team_name hint found,
593920,Bryant,America East,D1,no_team_hints,no by_org_id/by_team_name hint found,
507834,Hartford,America East,D1,no_team_hints,no by_org_id/by_team_name hint found,
593992,NJIT,America East,D1,no_team_hints,no by_org_id/by_team_name hint found,
594053,UAlbany,America East,D1,no_team_hints,no by_org_id/by_team_name hint found,
593964,UMass Lowell,America East,D1,no_team_hints,no by_org_id/by_team_name hint found,
593974,UMBC,America East,D1,no_team_hints,no by_org_id/by_team_name hint found,
594027,Vermont,America East,D1,no_team_hints,no by_org_id/by_team_name hint found,
594020,Air Force,ASUN,D1,no_team_hints,no by_org_id/by_team_name hint found,
593910,Bellarmine,ASUN,D1,no_team_hints,no by_org_id/by_team_name hint found,
593958,Jacksonville,ASUN,D1,no_team_hints,no by_org_id/by_team_name hint found,
593982,Mercer,ASUN,D1,no_team_hints,no by_org_id/by_team_name hint found,
594051,Utah,ASUN,D1,no_team_hints,no by_org_id/by_team_name hint found,
594040,High Point,Atlantic 10,D1,no_team_hints,no by_org_id/by_team_name hint found,
593952,Hobart,Atlantic 10,D1,no_team_hints,no by_org_id/by_team_name hint found,
593979,Massachusetts,Atlantic 10,D1,no_team_hints,no by_org_id/by_team_name hint found,
594005,Richmond,Atlantic 10,D1,no_team_hints,no by_org_id/by_team_name hint found,
594069,Saint Joseph's,Atlantic 10,D1,no_team_hints,no by_org_id/by_team_name hint found,
593908,St. Bonaventure,Atlantic 10,D1,no_team_hints,no by_org_id/by_team_name hint found,
593936,Denver,Big East,D1,no_team_hints,no by_org_id/by_team_name hint found,
594056,Georgetown,Big East,D1,no_team_hints,no by_org_id/by_team_name hint found,
593972,Marquette,Big East,D1,no_team_hints,no by_org_id/by_team_name hint found,
594001,Providence,Big East,D1,no_team_hints,no by_org_id/by_team_name hint found,
594011,St. John's (NY),Big East,D1,no_team_hints,no by_org_id/by_team_name hint found,
594029,Villanova,Big East,D1,no_team_hints,no by_org_id/by_team_name hint found,
593934,Delaware,CAA,D1,no_team_hints,no by_org_id/by_team_name hint found,
593940,Drexel,CAA,D1,no_team_hints,no by_org_id/by_team_name hint found,
593946,Fairfield,CAA,D1,no_team_hints,no by_org_id/by_team_name hint found,
593948,Hampton,CAA,D1,no_team_hints,no by_org_id/by_team_name hint found,
593954,Hofstra,CAA,D1,no_team_hints,no by_org_id/by_team_name hint found,
593985,Monmouth,CAA,D1,no_team_hints,no by_org_id/by_team_name hint found,
594015,Stony Brook,CAA,D1,no_team_hints,no by_org_id/by_team_name hint found,
594071,Towson,CAA,D1,no_team_hints,no by_org_id/by_team_name hint found,
593918,Brown,Ivy League,D1,no_team_hints,no by_org_id/by_team_name hint found,
593931,Cornell,Ivy League,D1,no_team_hints,no by_org_id/by_team_name hint found,
